168,Speaker,Utterance,dialogue_start,teaching act,student act,Student/Teacher Es,,
,S,yeah.,F,,confirm,Explore,,
,T,you put in zero. two thirds times zero is what?,F,question,,Explore,,
,S,zero.,F,,content,Explore,,
,T,plus eight is?,F,question,,Explore,,
,S,eight.,F,,content,Explore,,
,T,eight.,F,revoice,,Explore,,
,T,"now because this fraction is a two thirds, do you remember what I told you what numbers you should pick now?",T,recall,,Explore,,
,S,"um, threes.",F,,content,Explore,,
,T,"all right. so maybe zero, three and six would be good numbers to try with this one, right? that way you don't have to worry about fractions and mixed numbers.",T,,,Explore,,
,S,okay.,F,,,Explore,,
,T,okay?,F,,,Explore,,
,T,all right.,T,,,Explore,,
,S,"Mister, I forgot how to do these again. Like how do you do X and Y?",F,,,Explain,,
,T,"okay, so now wait a minute. you want to make a table then, right? the idea again is, to make our points we just pick any number we want for x. We can do that, right? Jenna?",F,,,Explain,,
,S,"yeah. so it was zero, one, and two",F,,,Explain,,
,T,"ah, that's true, except because this is a two thirds fraction +...",F,,,Explain,,
,S,you want to pick three as like +/.,F,,,Explain,,
,T,exactly.,F,,,Explain,,
,S,"negative three, zero and three.",F,,,Explain,,
,T,"right, and if you want to just do zero, three, six and stay away from negatives, you can do that too.",F,,,Explain,,
,T,all right?,T,,,Explain,,
,S,"I got six in the middle. so, zero, three, six.",F,,,Explain,,
,T,right.,F,,,Explain,,
,S,okay.,F,,,Explain,,
,T,and you think you can do it on your own now?,F,,,Explain,,
,T,you just want to be on the camera.,T,,,Explain,,
,S,"no, that's not true.",F,,,Explain,,
,T,"okay, we're going to put in zero here, right?",T,,,Explain,,
,S,okay.,F,,,Explain,,
,T,what's two thirds times zero?,F,,,Explain,,
,S,zero.,F,,,Explain,,
,T,"everybody watching, right? plus eight is?",F,,,Explain,,
,S,eight.,F,,,Explain,,
,T,eight.,F,,,Explain,,
,S,so three times two is...,F,,,Explain,,
,T,six.,F,,,Explain,,
,S,divided by three is two.,F,,,Explain,,
,T,three is two.,F,,,Explain,,
,S,plus eight is...,F,,,Explain,,
,T,eight is?,F,,,Explain,,
,S,ten. okay I get it. thank you Mister Ormsby.,F,,,Explain,,
,T,okay. good job.,F,,,Explain,,
,S,"all right, so, okay, this is what I did. I put three negative three, zero, three and six, all right?",F,,,Explain,,
,T,okay.,F,,,Explain,,
,T,how come you have your table backwards? I've never done that before.,T,,,Explain,,
,S,"well, I did that.",F,,,Explain,,
,T,okay.,F,,,Explain,,
,S,it's easier this way.,F,,,Explain,,
,T,"all right, if you say so.",F,,,Explain,,
,S,"anyways, I put negative three, so, I put two thirds and then that.",T,,,Explain,,
,T,times negative three.,F,,,Explain,,
,S,"yeah. negative three goes in the top, right?",F,,,Explain,,
,T,"right. well, negative three, you remember, is negative three over one.",F,,,Explain,,
,T,there you go.,T,,,Explain,,
,S,"so it's a one and a one. but that's a negative still, right?",F,,,Explain,,
,T,right. that's still a negative there.,F,,,Explain,,
,S,so it's negative two?,F,,,Explain,,
,T,plus eight is?,F,,,Explain,,
,S,six.,F,,,Explain,,
,T,yeah.,F,,,Explain,,
,S,"see, I knew that.",F,,,Explain,,
,T,"so negative three is six, zero is eight. now, try a positive three.",T,,,Explain,,
,S,"cause they're both positive so... two third so, three, one and...oh.",F,,,Explain,,
,T,okay.,F,,,Explain,,
,S,"one one, and then three, eight, eleven.",F,,,Explain,,
,T,"no, wait a minute.",F,,,Explain,,
,S,two... one is... and five.,F,,,Explain,,
,T,"two plus... wait a minute, no, you were timesing it.",F,,,Explain,,
,S,oh. it's ten.,F,,,Explain,,
,T,it's ten.,F,,,Explain,,
,T,and then six is twelve.,T,,,Explain,,
,S,it's six then ten and twelve.,F,,,Explain,,
,S,okay.,F,,,Explain,,
,T,all right.,F,,,Explain,,
,T,yes?,T,,,Explain,,
,S,"all right, I just totally forgot um, you know, how to do the graph.",F,,,Explain,,
,T,"okay, now what I liked how you at least remember to use multiples. ",F,,,Explain,,
,T,"like this one, let's try this one right here. All right?",T,,,Explain,,
,S,okay.,F,,,Explain,,
,T,"you remembered to use fives, but let's try zero. if I put in zero there, what's three fifths times zero?",F,,,Explain,,
,S,um... zero?,F,,,Explain,,
,T,right. minus ten?,F,,,Explain,,
,S,is negative ten?,F,,,Explain,,
,T,so put a negative ten there.,F,,,Explain,,
,T,"so now you're going to try five in there, right?",T,,,Explain,,
,S,okay.,F,,,Explain,,
,T,so just write a little five there so you can mentally see it. so if I do three times five that's?,F,,,Explain,,
,S,fifteen.,F,,,Explain,,
,T,"now remember I'm going to divide by the five, which gives me?",T,,,Explain,,
,S,three.,F,,,Explain,,
,T,minus ten.,F,,,Explain,,
,S,negative seven.,F,,,Explain,,
,T,good job.,F,,,Explain,,
,T,I think you got it now.,T,,,Explain,,
,S,"oh, okay.",F,,,Explain,,
,T,all right.,F,,,Explain,,
,T,finish it up.,T,,,Explain,,
,S,Mister Ormsby?,F,,,Explain,,
,T,all right.,F,,,Explain,,
,S,"uh, how many points do you want us to plot? three or four?",F,,,Explain,,
,T,"well that's a very good question. obviously, how many points do I really need to make a line?",F,,,Explain,,
,S,two.,F,,,Explain,,
,T,two.,F,,,Explain,,
,T,right? but just to make sure...,T,,,Explain,,
,S,three.,F,,,Explain,,
,T,plot at least three points.,F,,,Explain,,
,S,okay.,F,,,Explain,,
,T,that way if they're all in a line you know you did it right.,F,,,Explain,,
,T,okay?,T,,,Explain,,
,S,Mister Ormsby.,F,,,Explain,,
,T,yeah?,F,,,Explain,,
,S,I made the graph.,F,,,Explain,,
,T,"use the whole paper, man.",F,,,Explain,,
,T,okay?,T,,,Explain,,
,S,don't we have to graph every single one of those?,F,,,Explain,,
,T,"yeah, you're going to graph these five. that's why I want you to use the whole paper. make a big coordinate system.",F,,,Explain,,
,S,oh.,F,,,Explain,,
,T,"as a matter of fact, let me give you a fresh one to save you some time.",F,,,Explain,,
,S,"oh, okay. all right, now I get it.",F,,,Explain,,
,T,okay.,F,,,Explain,,
,T,"use the whole coordinate system, that way all the lines are nicely spaced out and everything.",T,,,Explain,,
,S,all right.,F,,,Explain,,
,T,okay?,T,,,Explain,,
,S,we're out of space.,F,,,Explain,,
,T,"okay, well how do you want to graph it? using an x y table?",F,,,Explain,,
,S,yeah.,F,,,Explain,,
,T,or do you want to learn how to use slope and y intercept?,F,,,Explain,,
,S,x and y table.,F,,,Explain,,
,T,okay.,F,,,Explain,,
,T,"see, if you work with Chris side by side, then you can compare answers. right?",T,,,Explain,,
,S,mm hm.,F,,,Explain,,
,T,don't just rely on Chris here.,F,,,Explain,,
,T,"The idea is I'm gonna plug in any values I really want for x and figure out my corresponding y. But because this fraction is a two thirds, what numbers should I possibly use that would make it easier for me?",T,,,Explain,,
,S,three.,F,,,Explain,,
,T,"numbers based on three. or zero, three, six, would be good enough, right?",F,,,Explain,,
,S,yeah.,F,,,Explain,,
,T,that way you can get that graph down. okay?,F,,,,,
