234,speaker,utterance,dialogue_start,Teaching Act,Teaching Purpose,Student Phase (5 Es),Teacher Phase (5 Es)
,[You]:,What do you mean it has no air?,F,Questioning and Prompting ,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,It can't get in.,F,,,,
,[You]:,"Ok, so air can't get in. So how does that affect it, you think?",F,Questioning and Prompting ,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,"Well, just like our theory. They're just trying to get in there.",F,,,,
,[You]:,"Ok, so, alright, so you have your can, it's flipped over, and, what do you mean by air is trying to get in?",F,Questioning and Prompting ,,,Elaborate
,[Bot]:,"Well, since it's cold, the water- the temperature of the water causes it to be cold, and- I don't know, actually.",F,,,,
,[You]:,"Ok, so I want you to keep thinking about that. Think about that air, and you're describing it as it wants to get in, but I want you to think about what is that air doing on the outside of the can.",F,Giving Explicit Instruction,,,Explore
,[Bot]:,Ok.,F,,,,
,[You]:,"So you can start by doing number one, you can start by drawing the pop can, and you can start by drawing that stage one, the pop can, when there's fifteen milliliters of water in it.",F,Giving Explicit Instruction,,,Explore
,,,,,,,
,[You]:,What happened?,T,Questioning and Prompting ,,,Explore
,[Bot]:,It sucked it in.,F,,,,
,[You]:,Oh.,F,,,,?
,[Bot]:,The water went schloop.,F,,,,
,[You]:,"Ok, so let's talk about what just happned here. You have your first can here, and so, you should be showing me what's in the can, and draw the molecules of gas inside the can. So, I see in Tani's picture, she has some water in the bottom. Is there any- what else is in this can?",F,Giving Explicit Clarification,,,Explore
,[Bot]:,Pop. A little bit.,F,,,,
,[You]:,"Ok, so maybe there's a little bit of pop. And what else is in there?",F,Questioning and Prompting ,,,Explore
,[Bot]:,Air.,F,,,,
,[You]:,"Yeah, so there's air in the can, too. And now I see that you have it on the hot plate here, what happens as you're heating it up?",F,Questioning and Prompting ,,,Explore
,[Bot]:,Steam.,F,,,,
,[You]:,"Steam's coming out. And what- So, can you show me, um- draw the molecules of gas that's inside the can. Show me what they're doing. Use the arrows to show the movement of the molecules inside. So now, these, to me, look like they're just sitting there. Are they moving?",F,Giving Explicit Instruction,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,No.,F,,,,
,[You]:,They're not moving?,F,Questioning and Prompting ,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,What's moving? The little molecules?,F,,,,
,[You]:,How can I tell by looking at this that they're moving?,F,Questioning and Prompting ,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,Oh. Haha.,F,,,,
,,,,,,,
,[You]:,Why would water go into the can you think?,T,Questioning and Prompting ,,,Explain
,[Bot]:,Because the pressure went schloop. The pressure sucked it in. The cold air sucked it in. Negative pressure.,F,,,,
,[You]:,What do you mean by that?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"The pressure's not pushing it out, it's sucking it in because it's negative.",F,,,,
,[You]:,"Ok. So, how could you also explain negative pressure, thinking about comparing two pressures? Because that might help you think about what's happening on theoutside of the can too. So think about comparing pressures.",F,Questioning and Prompting ,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,We should do this one.,F,,,,
,[You]:,"You can. You can do that one as you work on the next ones. I want you to think about, especially, I heard you start to think of some ideas. I want you to think about the can crushing and what do you wonder about how you can change the experiment. Like, what do you think might affect how much the can crushes? Or what do you think might affect the temperature of the gas?",F,Questioning and Prompting ,,,Explain
,,,,,,,
,[You]:,"So you think you can maybe change the temperature of this, and then how much water you can put inside the can? Ok, so, and then you're going to be- I see, you already started here. So you think the water might affect- What are you thinking about the water? The amount of water?",T,,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,Yeah.,F,,,,
,[You]:,So the amount of water might affect the can because?,F,,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,We haven't gotten that far.,F,,,,
,[You]:,Ok. Haha. So what do you think? How could changing the amount of water inside the can affect it?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"It's possible that it would crush it more, or less.",F,,,,
,[You]:,If you did what?,F,Questioning and Prompting ,,,Explain
,[Bot]:,If you add different amount of water to it.,F,,,,
,[You]:,"Ok, so let's take one example. We put less water inside of it, what do you think might happen?",F,,Getting Students Hypothesizing ,,Explore
,[Bot]:,Probably wouldn't crush as much.,F,,,,
,[You]:,As much what?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because there's less pressure inside of it, there's less pressure change.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,?
,[Bot]:,There's less steam because there's less water.,F,,,,
,[You]:,"Ok, so maybe if there's less steam, it would crush less. And then what if you put less water in here?",F,,Getting Students Hypothesizing ,,Explore
,[Bot]:,I don't think it would crush as much if you put a lot of water.,F,,,,
,[You]:,Why?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because it would have- I don't know, I just don't think it would.",F,,,,
,[You]:,I think you have a good idea. Why do you think it might not?,F,Questioning and Prompting ,,,Explain
,[Bot]:,Because there's too much pressure on the inside. Too much water for it to do that. Because I know if you squish something it pushes up.,F,,,,
,[You]:,Ok. So something about the water might be too much-,F,Giving Explicit Clarification,Summarizing Ideas,,Explore
,[Bot]:,It would be too full.,F,,,,
,[You]:,"Ok, so it takes up too much space. Ok. So those are the kinds of questions, er statements I want you to make here. So you can say, I think the amount of water might affect the can pressure because- and explain why.",F,Giving Explicit Instruction,,,Explain
,,,,,,,
,[You]:,"Can you think of anything else we could change about what we did here, that might affect the cans?",T,Questioning and Prompting ,,,Explain
,[Bot]:,Colder water.,F,,,,
,[You]:,Colder water? Where?,F,Questioning and Prompting ,,,Explain
,[Bot]:,In the bucket.,F,,,,
,[You]:,"Ok. So, I'm not sure if we could make this much colder, but what if we made it, just, without ice? What do you think would happen then?",F,,Getting Students Hypothesizing ,,Explore
,[Bot]:,It wouldn't crush as much.,F,,,,
,[You]:,Why not?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because it's not really cold. This has to be really hot, this has to be really cold, when they touch each other they try to communicate with each other, but they can't, so it's like a negative.",F,,,,
,[You]:,"Ok. So let's think about- I heard two things here. I heard one, about the temperature of the can, how hot to make that, and I also heard about the temperature of that. So you could do two things. You think that the- I think that the temperature of the water, the ice, the water bath could affect how much the can crushed because- and then tell me why you think that. And then also, you said something about the temperature inside the can. So maybe, I think that the temperature inside the can, or maybe how long it boils, would affect it because- So that's what you're going to write.",F,,Summarizing Ideas,,Explore
,[Bot]:,"So, what would happen right there, would it affect, like, a plastic bottle?",F,,,,
,[You]:,"Oh, so also, ok, so maybe-",F,,,,?
,[Bot]:,"Like, does it have to be metal or aluminum?",F,,,,
,[You]:,"Great question. So go ahead and write that question here. Or here. So here's your questions, here your going to actually try to think about why your questions, like, how it might affect it. So you might say, does the kind of material affect it? And here you would say, I think the material does affect it because- and explain why.",F,Giving Explicit Instruction,,,Explain
,[Bot]:,Ok.,F,,,,
,,,,,,,
,[You]:,"Ok, so tell me more about that, the how much space the water takes up part.",T,Questioning and Prompting ,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,"Um, I know if we put like, a lot of water, it's not going to crush as much. Because we measured that can to that can, and we put 15 in this one, and put 40 in that one.",F,,,,
,[You]:,"Oh, you put more in that one. Ok. So you already did a little experiment.",F,,,,?
,[Bot]:,which one was- This one was more than that one.,F,,,,
,[You]:,"Ok. So, you've already had- you've already done it and you see a difference. So what are your ideas about why that one didn't crush as much?",F,,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,Because we put more water.,F,,,,
,[You]:,"Ok, so you know- You kinda see that the amount of water affected it.",F,,,,?
,[Bot]:,Uh huh.,F,,,,
,[You]:,"And could you say that there's maybe two things going on, what and what?",F,Questioning and Prompting ,,,Explain
,[Bot]:,Pressure and space.,F,,,,
,[You]:,"Pressure difference and space. So, there's more water in here, what does that do to the space?",F,Questioning and Prompting ,,,Explain
,[Bot]:,There's less space for it to implode.,F,,,,
,[You]:,"Oh, so the water is already taking up space for the implosion. And you also think that that water has something to do with the difference in pressure.",F,,Summarizing Ideas,,Explore
,[Bot]:,Yeah.,F,,,,
,[You]:,"So think about, in your reading last night, you read something about the behavior of gasses and, um, there compression. So you want to continue thinking about that, like, compression of gas versus how much you compressed water. Think about how that might affect your results.",F,Giving Explicit Instruction,,,Explain
,,,,,,,
,[You]:,"Ok. And so it says make sure to draw the molecules of gas inside the can, use arrows to show the movement of the molecules. So this is the beginning one, and this one's on the hot plate?",T,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,Yeah.,F,,,,
,[You]:,So where- Is there any gas in this can right now?,F,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,"Um, not really. No. The liquid's just- It's just liquid right now. It's at the bottom. It's not being heated.",F,,,,
,[You]:,So what's in this space of the can?,F,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,Some air.,F,,,,
,[You]:,Air? What is air?,F,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,[silence],F,,,,
,[You]:,"Is air a solid, a liquid, or a gas?",F,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,"Uh, a gas.",F,,,,
,[You]:,"Ok. So we have water and we have, like, oxygen, or our air molecules that should be in this part your can. So how could you draw those in there?",F,Questioning and Prompting ,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,"Um, like circles, or?",F,,,,
,[You]:,Yeah. Little- just like circles or particles.,F,Giving Explicit Clarification,Monitoring and Guiding Students' Discussions/Work,,Explore
,[Bot]:,The particles can be air?,F,,,,
,[You]:,"Mhmm. But I want you to continue thinking of what's happening now when it's being heated up. What's happening inside the can, ok?",F,Giving Explicit Instruction,,,Explain
,,,,,,,
,[You]:,"Hey, so I heard you guys are debating about whether or not this was sealed or not sealed. So tell me more about that.",T,Orchastrating Group Discussion,Having Students Provide Explicit Explanation,,Explain
,[Bot]:,"Oh, we decided it's sealed.",F,,,,
,[You]:,"Ok, so why is it- How do you know it's sealed?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because we put it like that, with the top down.",F,,,,
,[You]:,"Ok, so you put it with the top down.",F,Providing Feedback ,,,Explain
,[Bot]:,Mhmm.,F,,,,
,[You]:,So tell me why did this happen?,F,Questioning and Prompting ,,,Explain
,[Bot]:,We're still deciding on that.,F,,,,
,[You]:,Ok. You might want to pick up this can to see what happened.,F,Giving Explicit Instruction,,,Explain
,[Bot]:,Pick it up?,F,,,,
,[You]:,"Yeah, pick it up. And kind of dump it out. Do you think the amount of water inside that can changed?",F,Questioning and Prompting ,,,Explain
,[Bot]:,As it boiled or as it-,F,,,,
,[You]:,"No. When you flipped it up, like right now, was there more water it in?",F,Questioning and Prompting ,,,Explain
,[Bot]:,No.,F,,,,
,[You]:,Ok. So it didn't change much.,F,Providing Feedback ,,,Explain
,[Bot]:,"Maybe. Because if it was in there, water would flow in.",F,,,,
,[You]:,Why would it flow in?,F,Questioning and Prompting ,,,Explain
,[Bot]:,Because it's open.,F,,,,
,[You]:,"Ok. So you can maybe think about that, but let's think about why this crushed. Because I see a picture here, I see all sorts of movement of molecules.",F,Orchastrating Group Discussion,Synthesizing Students' Explanations,,Explain
,[Bot]:,That's weird though.,F,,,,
,[You]:,What's weird?,F,Orchastrating Group Discussion,,,Explain
,[Bot]:,How did the air get out? How does it crush if the air didn't get out?,F,,,,
,[You]:,So what's inside the can in your picture right here?,F,Questioning and Prompting ,,,Explain
,[Bot]:,There's air and water.,F,,,,
,[You]:,"Air and water? Ok, so then when you flipped it over what happened?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"Oh, wait. I didn't take all the air out though. There's still air and water in there.",F,,,,
,[You]:,"Ok, so there's air and water still in here. What happened to it?",F,Questioning and Prompting ,,,Explain
,[Bot]:,[Silence],F,,,,
,[You]:,What do you think?,F,Questioning and Prompting ,,,Explain
,[Bot]:,[Silence],F,,,,
,[You]:,Did you take anything out of the can when you flipped it over?,F,Questioning and Prompting ,,,Explain
,[Bot]:,No.,F,,,,
,[You]:,"Ok, so what happened to the stuff inside there?",F,Questioning and Prompting ,,,Explain
,[Bot]:,It got- The water started coming down. The hot water.,F,,,,
,[You]:,"Ok, so- What?",F,Questioning and Prompting ,,,Explain
,[Bot]:,The boiling water.,F,,,,
,[You]:,The boiling water went-,F,Questioning and Prompting ,,,Explain
,[Bot]:,It come out as you were putting it in. It was coming out.,F,,,,
,[You]:,"Ok, so the hot water was down here, you flipped it over, and now it's down here.",F,,Synthesizing Students' Explanations,,Explain
,[Bot]:,Mhmm.,F,,,,
,[You]:,What else happened?,F,Questioning and Prompting ,,,Explain
,[Bot]:,The can crushed. The water inside the can was released.,F,,,,
,[You]:,Ok. So maybe some of the water came out. Is the water- and what else do you think happned?,F,Questioning and Prompting ,,,Explain
,[Bot]:,The cold water and the hot water touuched.,F,,,,
,[You]:,Ok. And-,F,Questioning and Prompting ,,,Explain
,[Bot]:,The reaction thing.,F,,,,
,[You]:,"So, when cold water and hot water touch each other, what happens to it?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"It spins- it like, creates a tornado.",F,,,,
,[You]:,Hmm. How could that affect- how could that make the can crush?,F,Questioning and Prompting ,,,Explain
,[Bot]:,[silence],F,,,,
,[You]:,I want you to think about these gas molecules. You have these gas molecules moving around inside of there.,F,Giving Explicit Instruction,,,Explain
,[Bot]:,Mhmm.,F,,,,
,[You]:,"And they're moving all over, I see some big arrows. And then you flipped your can over. What do you think happned to those?",F,Questioning and Prompting ,,,Explain
,[Bot]:,What happened to it?,F,,,,
,[You]:,Yeah.,F,Providing Feedback ,,,Explain
,[Bot]:,"Um, they're still in there.",F,,,,
,[You]:,"Oh, so maybe they could have turned into liquid a little bit?",F,,Synthesizing Students' Explanations,,Explain
,[Bot]:,Yeah.,F,,,,
,[You]:,Why would they have turned into liquid?,F,Questioning and Prompting ,,,Explain
,[Bot]:,The steam got cold.,F,,,,
,[You]:,"Ok, so they got cold and then maybe they condensed into liquid?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"Oh, I see.",F,,,,
,[You]:,"So, how would that make it crush then?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"Uh, because there's less- because there's no air no more. Causing it to turn into water.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,Explain
,[Bot]:,It's confusing.,F,,,,
,[You]:,"Yeah, it is confusing. But you can keep working through that. You guys have lots of good ideas, so keep trying to work through it together.",F,Giving Explicit Instruction,,,Explain
,,,,,,,
,[You]:,"So, you can do why the can is crushing too, but I want you to start thinking about what do you wonder about this, like, what parts of the experiment could you change? Is there anything that you think, like, might affect the can or make it crush more or less?",T,Questioning and Prompting ,,,Explain
,[Bot]:,The amount of water in the can.,F,,,,
,[You]:,Ok. How could that affect it?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because we only put 15 milliliters, so it would probably crush more if we put more water.",F,,,,
,[You]:,Why?,F,Questioning and Prompting ,,,Explain
,[Bot]:,More steam.,F,,,,
,[You]:,Ok. So why do you think more steam would make it crush more?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"Because, it also causes it to have less air inside the can.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,Explain
,[Bot]:,"So less air, the more space.",F,,,,
,[You]:,Ok. What do you think about that? If we put more water in the can would it crush more or less?,F,Questioning and Prompting ,,,Explain
,[Bot]:,I think it would be less.,F,,,,
,[You]:,Why?,F,Questioning and Prompting ,,,Explain
,[Bot]:,"There would be, like, less steam.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,Explain
,[Bot]:,"Because it's kind of small, so there wouldn't be that much steam.",F,,,,
,[You]:,"Ok, so if you put more water in here, you're saying that it would change actually how much space was available for that steam to take up.",F,,Summarizing Ideas,,Explore
,[Bot]:,Yeah.,F,,,,
,[You]:,"Ok. So that's the kind of thing you're going to write here. You're going to say, I think the amount of water might affect how much the can crushes because, and say why. So your idea is that it would have more or less space for the steam to take up. So that's what you're going to write in this space.",F,Giving Explicit Instruction,,,Explain
