177,Speaker,Utterance,dialogue_start,chatbot,5 Es,,chatbot
,T,because this one is different,F,,,,
,S,"one, two, three, four, five, six, seven, eight, and nine. oh no. this is four.",F,,,,
,T,ah. right.,F,,,,
,S,this one's two.,F,,,,
,T,"so do me a favor. erase the two, right, and label them right near the ends of the lines. because right there I can't tell which line you're talking about, right?",T,,,,
,S,right.,F,,,,
,T,put the four right there. okay? so both of those look excellent.,T,,,,
,S,six minus five.,F,,,,
,T,"number one, slope with two thirds starting at eight and this one is seven, right?",T,,,,
,S,mm hm.,F,,,,
,T,"uh oh. I don't like equation three because look, it's going down. that's a positive three.",T,,,,
,S,oh.,F,,,,
,T,it should be going...,F,,,,
,S,up.,F,,,,
,T,it should be angling up.,F,,,,
,T,I'll check that one later. okay?,T,,,,
,S,Mister Ormsby?,F,,,,
,T,here we go. yeah?,F,,,,
,S,we don't get number five.,F,,,,
,T,"number five. all right, first of all, you know the y intercept is what?",F,,,,
,S,negative five.,F,,,,
,T,all right. so put a dot on negative five.,F,,,,
,S,"one, two, three, four, five.",F,,,,
,T,good. we all agree on that?,F,,,,
,S,yes.,F,,,,
,T,"now, this is something so simple but very important. see in Algebra we get lazy sometimes, right? guess what number is in front of that.",T,,,,
,S,one.,F,,,,
,T,"a one, right? if the slope is one, what am I going to do? how do I make one a fraction?",F,,,,
,S,one over one.,F,,,,
,T,"all right, that's fine.",F,,,,
,T,"now remember slope is rise over one, right?",T,,,,
,S,mm hm.,F,,,,
,T,so one over one means I rise one and I go across one.,F,,,,
,S,there.,F,,,,
,T,that's it. that's the slope of one.,F,,,,
,T,"and this one's equation three, right? so put a three next to that.",T,,,,
,S,okay.,F,,,,
,T,"so number them, in other words, okay?",F,,,,
,S,okay.,F,,,,
,T,"because what that's going to do, that's going to help you when I ask these questions about each of the equations.",F,,,,
,T,"so as soon as you get that done, which you're almost done, you get them numbered, just move on to the next set of five.",T,,,,
,S,okay.,F,,,,
,T,all right?,F,,,,
,S,yeah.,F,,,,
,T,all right.,F,,,,
,S,"so this is three fifths, negative ten?",F,,,,
,T,"okay. so wait a minute. you're doing negative five, right?",F,,,,
,S,yeah.,F,,,,
,T,three times negative five is negative fifteen.,F,,,,
,S,negative fifteen.,F,,,,
,T,divided by five. negative three. minus ten?,F,,,,
,S,"is, um, negative, um, seven... oh, minus ten?",F,,,,
,T,negative three and a negative ten.,F,,,,
,S,"oh, um, thirteen.",F,,,,
,T,negative thirteen. so let's change that.,F,,,,
,S,mm hm.,F,,,,
,T,"well negative five is going to be, not five, but negative?",F,,,,
,S,thirteen.,F,,,,
,T,thirteen.,F,,,,
,T,get some help from them.,T,,,,
,S,okay.,F,,,,
,T,you think you got it? if I put in zero here what am I going to get?,F,,,,
,S,"uh, zero.",F,,,,
,T,"wait a minute, what's three fifths times zero?",F,,,,
,S,three fifths times zero?,F,,,,
,T,zero. minus ten would be?,F,,,,
,S,ten.,F,,,,
,T,zero minus ten would be?,F,,,,
,S,ten.,F,,,,
,T,not positive ten.,F,,,,
,S,negative ten.,F,,,,
,T,negative ten. so you want to put a negative ten there. okay?,F,,,,
,S,okay.,F,,,,
,T,now try at least one more of five. okay?,T,,,,
,S,"uh, Isn't that, uh...",F,,,,
,T,now it's a positive five.,F,,,,
