,speaker,utterance,dialogue_start,source,
,S,"okay, okay, okay, okay, okay, okay, okay.",FALSE,TIMSS_science_2,
,T,on tape.,FALSE,TIMSS_science_2,
,S,read it out loud.,FALSE,TIMSS_science_2,
,T,thank you.,FALSE,TIMSS_science_2,
,S,that'll be the most funniest moment.,FALSE,TIMSS_science_2,
,T,"then we can catch her reaction on tape, too.",FALSE,TIMSS_science_2,
,T,"fold it in half, turn.",TRUE,TIMSS_science_2,
,S,that's all you had to do?,FALSE,TIMSS_science_2,
,T,yeah.,FALSE,TIMSS_science_2,
,S,where's randy?,TRUE,TIMSS_science_2,
,T,he went to the nurse's office.,FALSE,TIMSS_science_2,
,S,I forgot.,FALSE,TIMSS_science_2,
,T,he wasn't feeling well.,FALSE,TIMSS_science_2,
,T,which one of those is number one?,TRUE,TIMSS_science_2,
,S,I got number two.,FALSE,TIMSS_science_2,
,T,"okay, thanks.",FALSE,TIMSS_science_2,
,S,"can we do the other circle for the other paper too, mr. melville?",TRUE,TIMSS_science_2,
,T,"uh, yes.",FALSE,TIMSS_science_2,
,S,mr. melville?,TRUE,TIMSS_science_2,
,T,yes?,FALSE,TIMSS_science_2,
,S,"can we go out there when we're done, mr. melville?",FALSE,TIMSS_science_2,
,T,"well, we're all heading out there.",FALSE,TIMSS_science_2,
,T,"that's probably why you don't feel well, randy.",TRUE,TIMSS_science_2,
,S,what happened to randy?,FALSE,TIMSS_science_2,
,T,he's got a temperature of onehundred and two. so that's probably why he doesn't feel well.,FALSE,TIMSS_science_2,
,T,"come on, miguel.",TRUE,TIMSS_science_2,
,S,okay.,FALSE,TIMSS_science_2,
,T,any of these areas in the full sun is fine as long as you're not behind tree shadows.,TRUE,TIMSS_science_2,
,S,right here.,FALSE,TIMSS_science_2,
,T,that would be fine.,FALSE,TIMSS_science_2,
,S,"mr. melville, is this a sunspot; the big one right there?",TRUE,TIMSS_science_2,
,T,i don't think so.,FALSE,TIMSS_science_2,
,S,are you serious?,FALSE,TIMSS_science_2,
,T,are you talking about this thing right there?,FALSE,TIMSS_science_2,
,S,yeah.,FALSE,TIMSS_science_2,
,T,"I think that's just, uh, stuff on your mirror or your lens.",FALSE,TIMSS_science_2,
,T,so you guys haven't done yours yet?,TRUE,TIMSS_science_2,
,S,we just started.,FALSE,TIMSS_science_2,
,T,"okay. well, you're really close.",FALSE,TIMSS_science_2,
,T,see these white spots here?,FALSE,TIMSS_science_2,
,S,yeah.,FALSE,TIMSS_science_2,
,T,"okay, all I need is in the center of the target, see.",FALSE,TIMSS_science_2,
,S,I didn't know that.,FALSE,TIMSS_science_2,
,T,where's yours?,TRUE,TIMSS_science_2,
,S,right there.,FALSE,TIMSS_science_2,
,T,okay.,FALSE,TIMSS_science_2,
,T,"audrey, what are you doing going into other people's classrooms?",TRUE,TIMSS_science_2,
,S,I'm not.,FALSE,TIMSS_science_2,
,T,you're standing there with the door wide open. what are you doing?,FALSE,TIMSS_science_2,
,S,because beatrice was talking to me and brenda.,FALSE,TIMSS_science_2,
,T,stay away.,FALSE,TIMSS_science_2,
,T,did you find one? you didn't get one moving west.,TRUE,TIMSS_science_2,
,S,"yes, I did.",FALSE,TIMSS_science_2,
,T,"no, you didn't.",FALSE,TIMSS_science_2,
,S,what's west?,TRUE,TIMSS_science_2,
,T,the direction that the sunspots move.,FALSE,TIMSS_science_2,
,S,it was this one.,TRUE,TIMSS_science_2,
,T,then how come there's not a series of marks?,FALSE,TIMSS_science_2,
,S,because I didn't leave it there.,FALSE,TIMSS_science_2,
,T,okay.,FALSE,TIMSS_science_2,
